name,number,description,image_url,sub_category_id
워시드 린넨 이불커버,3501,가장자리에 더블 스티치 디테일이 매치된 160GSM 워싱 마감 린넨 단색 이불커버. JOIN LIFE Care for fiber: 100% 유럽 재배 린넨.,https://images.unsplash.com/photo-1617325247661-675ab4b64ae2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1171&q=80,1
퍼케일 코튼 이불커버,3502,500TC 퍼케일 면 소재 단색 이불커버. 이 새로운 면 소재는 더욱 내구성이 강하며 부드러운 벨벳 마감의 더욱 고급 소재입니다. 같은 컬러의 패브릭 소재에 면 품질 인증이 자수 처리됨. 하단 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1642026391740-fa9c57090831?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2370&q=80,1
새틴 이불커버,3503,300TC 새틴 면 소재 단색 이불 커버. 다른 모델과 매치하기에 이상적인 디자인. 히든 버튼으로 여밈.,https://images.unsplash.com/photo-1612650760263-2d9ec04e0717?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1173&q=80,1
라이트 그레이 침구 세트,3504,무광 마감 300TC 퍼케일 면 소재 단색 이불 커버. 세탁을 반복할수록 놀랍게 부드러워지는 새로운 고급 소재. 내구성이 강하고 오래 사용 가능하며 안티필링 처리됨.,https://images.unsplash.com/photo-1606855637183-ea2a00b6f15f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1400&q=80,1
물결 무늬 차렵이불,3505,부드럽고 시원한 원단의 물결 무늬 이불 커버,https://images.unsplash.com/photo-1507427235685-0bc9cf31856a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2359&q=80,1
더블 패브릭 코튼 커튼,3506,봉집이 있는 단색 면 소재 커튼. JOIN LIFE Care for water: 더 적은 양의 물을 사용하여 제조됨.,https://images.unsplash.com/photo-1535542767117-80f7ebd0f082?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,4
워시드 린넨 커튼,3507,로드 포켓 디테일이 매치된 워싱 마감 단색 린넨 커튼. 비침 정도: 높음,https://images.unsplash.com/photo-1577926898619-41472eb8471e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,4
하이 GSM 린넨 커튼,3508,워싱 처리된 린넨 소재를 촘촘히 짠 무늬 커튼. 높은 GSM 수치. 링을 걸 수 있는 고리가 달림.,https://images.unsplash.com/photo-1599280611965-bef72efc48fb?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1771&q=80,4
직사각 거울,3509,블랙 프레임 직사각형 거울. 벽에 적절한 나사와 거울 뒤에 있는 경첩을 사용하여 거울을 고정하는 것이 좋습니다. 나사는 포함되지 않음.,https://images.unsplash.com/photo-1619213348491-b7b7602727f9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1335&q=80,7
라지 라운드 거울,3510,골드 톤 금속 프레임 큰 사이즈 거울. 벽에 적절한 나사와 거울 뒤에 있는 경첩을 사용하여 거울을 고정하는 것이 좋습니다. 나사는 포함되지 않음.,https://images.unsplash.com/photo-1618220252344-8ec99ec624b1?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1760&q=80,7
